iter	Passed	Remaining
566	2940	2245
567	2946	2240
568	2949	2234
569	2952	2227
570	2956	2221
571	2959	2214
572	2963	2208
573	2967	2202
574	2969	2194
575	2975	2190
576	2979	2184
577	2981	2177
578	2987	2172
579	2991	2166
580	2993	2158
581	3000	2155
582	3004	2149
583	3010	2144
584	3014	2138
585	3021	2134
586	3025	2128
587	3028	2122
588	3032	2116
589	3035	2109
590	3043	2106
591	3047	2100
592	3050	2093
593	3054	2087
594	3057	2081
595	3063	2076
596	3067	2070
597	3070	2063
598	3073	2057
599	3076	2051
600	3082	2046
601	3085	2040
602	3088	2033
603	3092	2027
604	3096	2021
605	3098	2014
606	3102	2008
607	3105	2001
608	3109	1996
609	3113	1990
610	3116	1984
611	3120	1978
612	3123	1971
613	3129	1967
614	3133	1961
615	3136	1955
616	3140	1949
617	3143	1943
618	3151	1939
619	3154	1933
620	3159	1928
621	3163	1922
622	3165	1915
623	3169	1909
624	3172	1903
625	3178	1899
626	3182	1893
627	3185	1886
628	3189	1881
629	3192	1874
630	3198	1870
631	3207	1867
632	3213	1863
633	3218	1858
634	3223	1852
635	3227	1846
636	3230	1840
637	3237	1836
638	3241	1831
639	3243	1824
640	3246	1818
641	3249	1812
642	3255	1807
643	3259	1801
644	3262	1795
645	3266	1790
646	3269	1783
647	3275	1779
648	3278	1773
649	3283	1767
650	3287	1762
651	3289	1755
652	3297	1752
653	3300	1746
654	3305	1740
655	3309	1735
656	3311	1728
657	3315	1723
658	3319	1717
659	3322	1711
660	3325	1705
661	3328	1699
662	3334	1694
663	3338	1689
664	3342	1683
665	3346	1678
666	3348	1671
667	3355	1667
668	3370	1667
669	3377	1663
670	3388	1661
671	3393	1656
672	3400	1652
673	3404	1646
674	3408	1641
675	3412	1635
676	3415	1629
677	3421	1625
678	3426	1619
679	3429	1613
680	3434	1608
681	3436	1602
682	3443	1598
683	3447	1592
684	3450	1586
685	3455	1581
686	3458	1575
687	3464	1571
688	3468	1565
689	3472	1560
690	3476	1554
691	3479	1548
692	3486	1544
693	3490	1539
694	3494	1533
695	3498	1528
696	3501	1521
697	3508	1517
698	3512	1512
699	3515	1506
700	3519	1501
701	3522	1495
702	3529	1490
703	3533	1485
704	3538	1480
705	3543	1475
706	3546	1469
707	3550	1464
708	3554	1458
